UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregiao,Microrregião Geográfica,Nome_Microrregião,Município,codIBGE,Nome_Municipio
33,Rio de Janeiro,3303,Petrópolis,330007,Petrópolis,06,Metropolitana do Rio de Janeiro,015,Serrana,05158,3305158,São José do Vale do Rio Preto
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330013,Cabo Frio,04,Baixadas,010,Lagos,05208,3305208,São Pedro da Aldeia
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,008,Santa Maria Madalena,05307,3305307,São Sebastião do Alto
33,Rio de Janeiro,3303,Petrópolis,330009,Três Rios - Paraíba do Sul,03,Centro Fluminense,005,Três Rios,05406,3305406,Sapucaia
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,04,Baixadas,010,Lagos,05505,3305505,Saquarema
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,017,Itaguaí,05554,3305554,Seropédica
33,Rio de Janeiro,3301,Rio de Janeiro,330003,Rio Bonito,04,Baixadas,009,Bacia de São João,05604,3305604,Silva Jardim
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,007,Nova Friburgo,05703,3305703,Sumidouro
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,05752,3305752,Tanguá
33,Rio de Janeiro,3303,Petrópolis,330007,Petrópolis,06,Metropolitana do Rio de Janeiro,015,Serrana,05802,3305802,Teresópolis
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,008,Santa Maria Madalena,05901,3305901,Trajano de Moraes
33,Rio de Janeiro,3303,Petrópolis,330009,Três Rios - Paraíba do Sul,03,Centro Fluminense,005,Três Rios,06008,3306008,Três Rios
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330006,Valença,05,Sul Fluminense,012,Barra do Piraí,06107,3306107,Valença
33,Rio de Janeiro,3304,Campos dos Goytacazes,330011,Itaperuna,01,Noroeste Fluminense,001,Itaperuna,06156,3306156,Varre-Sai
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330006,Valença,06,Metropolitana do Rio de Janeiro,014,Vassouras,06206,3306206,Vassouras
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,011,Vale do Paraíba Fluminense,06305,3306305,Volta Redonda
